epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5895,0.92423,2.80988,1.43916,0.449,0.4641,0.26516,0.11304,1.3069,3.02469,1.7703,0.000331667,0.000331667,0.000331667
2,96.5847,1.31851,2.40034,1.73917,0.48748,0.22379,0.06215,0.02573,1.78497,7.26842,2.57144,0.000658417,0.000658417,0.000658417
3,143.018,1.4799,2.50389,1.83668,0.44871,0.24558,0.03799,0.01144,2.05419,6.07242,2.7064,0.000978566,0.000978566,0.000978566
4,189.632,1.46426,2.46944,1.83639,0.33404,0.15522,0.12708,0.06075,1.78717,3.04048,2.31666,0.0009703,0.0009703,0.0009703
5,235.79,1.3902,2.32867,1.75114,0.5731,0.22599,0.1682,0.09053,1.5097,2.4785,2.03808,0.0009604,0.0009604,0.0009604
6,282.794,1.30666,2.23782,1.71292,0.64177,0.19838,0.18098,0.09956,1.50638,2.31638,2.03513,0.0009505,0.0009505,0.0009505
7,330.237,1.29123,2.19644,1.69336,0.6519,0.26862,0.25031,0.14664,1.5006,1.98439,2.02941,0.0009406,0.0009406,0.0009406
8,377.346,1.24984,2.14394,1.64738,0.65686,0.23273,0.21991,0.13401,1.37542,2.42972,1.87778,0.0009307,0.0009307,0.0009307
9,424.776,1.2632,2.13358,1.67308,0.6404,0.31142,0.254,0.15816,1.30277,1.90461,1.79578,0.0009208,0.0009208,0.0009208
10,471.989,1.12667,1.92072,1.56012,0.68272,0.30754,0.25115,0.17581,1.15843,2.10646,1.6988,0.0009109,0.0009109,0.0009109
11,518.985,1.1214,1.89361,1.55936,0.75827,0.26777,0.29055,0.18838,1.24092,1.89693,1.73941,0.000901,0.000901,0.000901
12,566.44,1.13336,1.90329,1.5575,0.7762,0.28369,0.31582,0.20871,1.18358,1.81388,1.75816,0.0008911,0.0008911,0.0008911
13,613.352,1.10399,1.83906,1.54681,0.68688,0.32579,0.29804,0.17791,1.3036,1.90544,1.79987,0.0008812,0.0008812,0.0008812
14,659.779,1.06526,1.77388,1.52544,0.75387,0.3702,0.3803,0.23645,1.15372,1.59053,1.66071,0.0008713,0.0008713,0.0008713
15,706.014,1.05881,1.75986,1.51291,0.82312,0.32334,0.37233,0.24352,1.08512,1.68628,1.59166,0.0008614,0.0008614,0.0008614
16,752.667,1.03879,1.7527,1.50487,0.83718,0.34471,0.48802,0.28303,1.06433,1.59963,1.62591,0.0008515,0.0008515,0.0008515
17,800.558,1.02896,1.669,1.48239,0.83827,0.29872,0.42297,0.27414,1.02034,1.58896,1.55445,0.0008416,0.0008416,0.0008416
18,846.818,0.98214,1.64358,1.47286,0.77714,0.4025,0.47126,0.31478,1.01832,1.44058,1.56091,0.0008317,0.0008317,0.0008317
19,894.608,0.98921,1.62167,1.47868,0.8058,0.35162,0.42349,0.28998,1.09265,1.57678,1.63585,0.0008218,0.0008218,0.0008218
20,943.415,0.9686,1.59145,1.44735,0.83365,0.37774,0.43164,0.29142,1.02944,1.45294,1.602,0.0008119,0.0008119,0.0008119
21,990.033,0.95789,1.51851,1.44133,0.61158,0.56612,0.50368,0.31658,1.01828,1.49621,1.53806,0.000802,0.000802,0.000802
22,1037.73,0.98591,1.53798,1.45614,0.80157,0.36361,0.49457,0.30366,1.02527,1.42232,1.56521,0.0007921,0.0007921,0.0007921
23,1085.84,0.94397,1.49643,1.43993,0.51854,0.55819,0.46768,0.30319,1.04887,1.40391,1.6087,0.0007822,0.0007822,0.0007822
24,1133.81,0.9473,1.47291,1.41967,0.91197,0.3527,0.52064,0.33384,1.01848,1.38113,1.53187,0.0007723,0.0007723,0.0007723
25,1179.92,0.91819,1.43117,1.4133,0.63779,0.59501,0.57679,0.39659,0.94626,1.52088,1.48511,0.0007624,0.0007624,0.0007624
26,1226.9,0.90931,1.4223,1.40913,0.62685,0.49659,0.55684,0.39613,0.95178,1.31927,1.48103,0.0007525,0.0007525,0.0007525
27,1273.39,0.89302,1.39703,1.39108,0.80809,0.59718,0.65642,0.38789,0.9322,1.22897,1.47447,0.0007426,0.0007426,0.0007426
28,1319.22,0.86701,1.37788,1.37989,0.91168,0.3501,0.50204,0.36549,0.92429,1.22839,1.44821,0.0007327,0.0007327,0.0007327
29,1366.83,0.87195,1.35225,1.36733,0.58689,0.57982,0.51155,0.33061,0.92933,1.28309,1.45209,0.0007228,0.0007228,0.0007228
30,1414.18,0.87266,1.33203,1.36944,0.8789,0.47829,0.60613,0.36893,0.92447,1.1745,1.49264,0.0007129,0.0007129,0.0007129
31,1460.75,0.84694,1.27062,1.35313,0.81914,0.6049,0.65019,0.4284,0.89422,1.24795,1.39075,0.000703,0.000703,0.000703
32,1507.13,0.83623,1.25987,1.34417,0.79592,0.60495,0.64177,0.46766,0.893,1.15695,1.42546,0.0006931,0.0006931,0.0006931
33,1552.91,0.84876,1.2449,1.3362,0.91135,0.61739,0.69152,0.44134,0.86766,1.08777,1.38248,0.0006832,0.0006832,0.0006832
34,1598.71,0.79983,1.24881,1.31562,0.38588,0.58734,0.54463,0.38381,0.88418,1.06482,1.43943,0.0006733,0.0006733,0.0006733
35,1645.05,0.8382,1.23587,1.35209,0.61851,0.57472,0.54418,0.366,0.86182,1.19913,1.36184,0.0006634,0.0006634,0.0006634
36,1690.49,0.82235,1.20782,1.33618,0.75196,0.45788,0.57818,0.37638,0.95512,1.27133,1.53108,0.0006535,0.0006535,0.0006535
37,1735.89,0.82143,1.20466,1.33577,0.864,0.56134,0.64723,0.41492,0.88482,1.1164,1.38267,0.0006436,0.0006436,0.0006436
38,1781.27,0.81972,1.17211,1.32957,0.71076,0.54916,0.61824,0.42219,0.88776,1.04992,1.41769,0.0006337,0.0006337,0.0006337
39,1826.75,0.81323,1.18234,1.32915,0.82069,0.61338,0.64563,0.46729,0.82008,1.11741,1.35168,0.0006238,0.0006238,0.0006238
40,1872.27,0.78325,1.11834,1.28959,0.85029,0.60404,0.65865,0.48162,0.8476,1.1608,1.36279,0.0006139,0.0006139,0.0006139
41,1917.78,0.77386,1.14432,1.29755,0.75217,0.63702,0.63749,0.44701,0.86193,1.10822,1.39098,0.000604,0.000604,0.000604
42,1963.2,0.77581,1.09652,1.29321,0.66738,0.6,0.61497,0.45741,0.87965,1.01745,1.37515,0.0005941,0.0005941,0.0005941
43,2008.67,0.74311,1.11343,1.27555,0.91127,0.571,0.68339,0.42831,0.86532,1.08101,1.39983,0.0005842,0.0005842,0.0005842
44,2054.07,0.7586,1.0909,1.28822,0.69272,0.64727,0.57578,0.41956,0.8253,1.04188,1.3779,0.0005743,0.0005743,0.0005743
45,2099.46,0.74333,1.06414,1.28557,0.8257,0.59472,0.61162,0.47441,0.80323,1.05217,1.3038,0.0005644,0.0005644,0.0005644
46,2144.89,0.73566,1.04934,1.26577,0.74398,0.62242,0.665,0.51962,0.74688,0.98497,1.26461,0.0005545,0.0005545,0.0005545
47,2190.41,0.75525,1.06925,1.28864,0.79253,0.53956,0.58911,0.44227,0.82052,1.07306,1.35307,0.0005446,0.0005446,0.0005446
48,2235.89,0.70736,1.01839,1.27065,0.78752,0.6348,0.58629,0.44493,0.78825,0.97853,1.33355,0.0005347,0.0005347,0.0005347
49,2281.3,0.74863,1.01326,1.27546,0.77961,0.53995,0.55963,0.44386,0.7752,1.03351,1.32387,0.0005248,0.0005248,0.0005248
50,2326.77,0.73513,1.01917,1.27853,0.55816,0.65087,0.61505,0.44065,0.78711,1.00484,1.33702,0.0005149,0.0005149,0.0005149
51,2372.18,0.74949,1.03659,1.28339,0.66251,0.65502,0.53128,0.41863,0.78199,0.98682,1.31267,0.000505,0.000505,0.000505
52,2417.6,0.70448,1.01332,1.24801,0.93482,0.41577,0.52351,0.40744,0.77479,0.99182,1.31962,0.0004951,0.0004951,0.0004951
53,2463,0.69846,0.96931,1.24307,0.54972,0.64743,0.66177,0.50421,0.77313,0.98499,1.32478,0.0004852,0.0004852,0.0004852
54,2508.4,0.69135,0.9429,1.22372,0.69804,0.45101,0.54434,0.39607,0.79201,0.95325,1.33173,0.0004753,0.0004753,0.0004753
55,2553.73,0.70144,0.94904,1.24858,0.81379,0.66749,0.6978,0.50096,0.7556,0.92672,1.28377,0.0004654,0.0004654,0.0004654
56,2599.11,0.69107,0.9386,1.23583,0.91502,0.60698,0.69708,0.55633,0.78492,0.9411,1.322,0.0004555,0.0004555,0.0004555
57,2644.58,0.70472,0.94217,1.23003,0.90654,0.62703,0.69305,0.50372,0.74899,0.98932,1.29786,0.0004456,0.0004456,0.0004456
58,2690.01,0.68727,0.91422,1.22697,0.87682,0.60562,0.67292,0.46507,0.76237,0.89231,1.3178,0.0004357,0.0004357,0.0004357
59,2735.41,0.66994,0.90824,1.23007,0.63953,0.65893,0.62007,0.47605,0.80609,1.01306,1.35854,0.0004258,0.0004258,0.0004258
60,2780.79,0.66594,0.91367,1.22264,0.86202,0.58895,0.66641,0.51137,0.76123,0.92123,1.29458,0.0004159,0.0004159,0.0004159
61,2826.17,0.65253,0.87954,1.20802,0.85726,0.65741,0.64236,0.49846,0.75703,0.92591,1.29804,0.000406,0.000406,0.000406
62,2871.55,0.64686,0.83546,1.19553,0.85137,0.62984,0.6071,0.4855,0.73502,0.91415,1.26921,0.0003961,0.0003961,0.0003961
63,2916.93,0.64304,0.82674,1.20503,0.93281,0.61452,0.70722,0.5458,0.7493,0.85462,1.2705,0.0003862,0.0003862,0.0003862
64,2962.3,0.65652,0.86589,1.20027,0.80583,0.66031,0.64031,0.46728,0.73988,0.86609,1.28322,0.0003763,0.0003763,0.0003763
65,3007.66,0.62131,0.79893,1.18254,0.82202,0.66846,0.67658,0.52893,0.73384,0.92165,1.26142,0.0003664,0.0003664,0.0003664
66,3053.03,0.62482,0.81877,1.19068,0.85392,0.66791,0.67764,0.53443,0.76295,0.88594,1.31682,0.0003565,0.0003565,0.0003565
67,3098.4,0.60444,0.80288,1.16867,0.84329,0.6455,0.60142,0.45386,0.76118,0.91972,1.31003,0.0003466,0.0003466,0.0003466
68,3143.92,0.59593,0.80443,1.17176,0.84181,0.66106,0.63612,0.45079,0.75399,0.86852,1.33244,0.0003367,0.0003367,0.0003367
69,3189.26,0.61115,0.79476,1.17188,0.81576,0.53949,0.62468,0.51356,0.73247,0.92579,1.27274,0.0003268,0.0003268,0.0003268
70,3234.65,0.59068,0.7241,1.16817,0.92982,0.53097,0.65737,0.49297,0.75151,0.94991,1.28691,0.0003169,0.0003169,0.0003169
71,3280.75,0.58509,0.73276,1.15923,0.91089,0.6305,0.70163,0.53539,0.70066,0.87604,1.23228,0.000307,0.000307,0.000307
72,3326.3,0.60139,0.73061,1.16895,0.90663,0.5196,0.63605,0.48681,0.75311,0.88632,1.30232,0.0002971,0.0002971,0.0002971
73,3371.75,0.59012,0.71503,1.15316,0.91906,0.60588,0.71508,0.57807,0.71267,0.85014,1.25821,0.0002872,0.0002872,0.0002872
74,3417.31,0.60637,0.75965,1.16479,0.95157,0.59176,0.70271,0.57111,0.73089,0.8412,1.26935,0.0002773,0.0002773,0.0002773
75,3462.77,0.58606,0.71515,1.15253,0.83279,0.65502,0.66274,0.54479,0.73521,0.86953,1.2686,0.0002674,0.0002674,0.0002674
76,3508.23,0.5784,0.72103,1.15786,0.80495,0.65013,0.65449,0.50413,0.72573,0.87199,1.275,0.0002575,0.0002575,0.0002575
77,3553.67,0.55101,0.71166,1.13366,0.83585,0.5523,0.64555,0.50727,0.70811,0.88641,1.26716,0.0002476,0.0002476,0.0002476
78,3599.08,0.57051,0.68231,1.14655,0.91759,0.60259,0.70388,0.58116,0.71123,0.85373,1.26482,0.0002377,0.0002377,0.0002377
